公司名称,地址,电话
互联网大厦,河南省新乡市红旗区新中大道(中)
新乡市嘟嘟网络技术有限公司,洪门镇金穗大道新中大道交叉口互联网大厦8楼
嘉亿国际新闻大厦,新乡市红旗区洪门镇红旗区互联网大厦西
叁河鼎盛公司,洪门镇金穗大道与新中大道交叉口互联网大厦六楼607
饿了么公司,洪门镇金穗大道(中)互联网大厦30层
新乡搜狗运营中心,河南省新乡市红旗区金穗大道互联网大厦6楼
新乡天驰网络科技有限公司,河南省新乡市红旗区金穗大道互联网大厦702室
万达物流公司,新中大道互联网大厦22楼
大胜商贸有限公司,互联网大厦商业步行街131号
万达仓储公司,洪门镇金穗大道互联网大厦2202
银谷普惠公司,新乡市红旗区开发区街道互联网大厦1801
平安公司,推测位置
互联网大厦-南1门,河南省新乡市红旗区洪门镇互联网大厦西嘉亿国际新闻大厦平安公司
新乡市动之力广告有限公司,推测位置
新利净化技术有限公司,新中大道与金穗大道交叉口西100米
新乡市百特智能转运设备有限公司,金穗大道东嘉亿互联网大厦1804室
新乡市中誉鼎力软件科技有限公司,新乡市红旗区互联网大厦3601室
庭雅商贸公司,新乡市互联网大厦701
新乡市彩纶纸业有限公司,洪门镇金穗大道与新中大道互联网大厦31楼3110室
指南者网络科技有限公司,推测位置
新乡搜狗运营中心,河南省新乡市红旗区金穗大道互联网大厦6楼
嘉德建筑工程有限公司,新乡市红旗区新中大道和金穗大道交叉口新乡市互联网大厦1103室
博洋翻译,推测位置
河南省乐境通电子商务有限公司,洪门镇金穗大道东嘉亿互联网大厦509
丰时商贸有限公司,新乡市红旗区金穗大道互联网大厦1910室
酷雷曼河南省运营中心,河南省新乡市红旗区金穗大道互联网大厦
河南一棵树电子商务有限公司,新乡市金穗大道与新中大道交叉口西北角嘉亿互联网大厦1601室
郑州一如既往软件科技有限公司,新中大道与金穗大道西北角互联网大厦
互联网大厦-地下停车场,河南省新乡市红旗区金穗大道东互联网大厦1505
新乡十里红妆婚庆公司,新乡市红旗区金穗大道与新中大道交叉口西北角互联网大厦1层
仁真装饰,新中大道与金穗大道交叉口互联网大厦2002
捷润科技,推测位置
互联网大厦-B座,洪门镇宝龙广场对面互联网大厦10层1011室
互联网大厦-北门,河南省新乡市红旗区金穗大道与新中大道交汇处
