,con,hot,id,name,room
0,户外,1797万,/777,长沙乡村敢死队,全明星赛！    67554
1,DNF,580.6万,/99999,旭旭宝宝,芹泽：我你妹的，终于也是有樱木的人了~
2,lol云顶之弈,7.8万,/565379,小奶兔rylee,恢复元气，好好直播！
3,王者荣耀,92.6万,/1811143,白白白白白3,牛家村:八月 加油!
4,绝地求生,357.9万,/2222,一条小团团OvO,长腿170会跳舞的模特妹妹呀
5,绝地求生,329.3万,/100,斗鱼绝地赛事,上赛季排行榜13的小菜鸡~
6,王者荣耀,200.8万,/998,王者荣耀官方赛事,【交友】招收优质女主持。 6438956
7,CS:GO,191.2万,/9418,Big茄子,一波流安妮:低保比惨大会
8,欢乐麻将,189.9万,/1165924,靓旭,三国诸葛千万贪分-支持一下
9,绝地求生,184.3万,/92000,呆妹儿小霸王,【伊人】穿风·刺客
10,绝地求生,179.3万,/24422,pigff,先爆水晶，11点钥匙看情况
11,英雄联盟,169.5万,/252140,金咕咕金咕咕doinb,被黄金书办的挺挺的，10点半抽全身12
12,户外,165.5万,/337852,洪湖小肖,♥小奶兔♥一边说相声一边下棋？
13,穿越火线,158.9万,/605964,穿越火线运营团队,教训一下嚣张的路人 1811143
14,美食,156万,/6257560,你的网友小董,团团:下午5点半开播~晚上有活动哦~
15,绝地求生,146.6万,/88080,仙某某,【PCLP】夏季赛 季前赛
16,户外,144.4万,/554559,峰峰三号333,重播丨8月2日半决赛RW vs Hero
17,户外,142.1万,/1221923,JSA丶北京小王哥,今天比赛 LQ GOGOGO
18,户外,131.7万,/15000,龍骑士丶宁波小骚骚,愣是没鸽，哈哈哈哈
19,和平精英,131.6万,/9595,Dy花老湿,呆妹：和比心小姐姐玩的一天~
20,户外,131万,/848337,俄罗斯教父,【PIGFF】faceit职业局备战联赛
21,英雄联盟,130.5万,/288016,英雄联盟赛事,金咕咕 偷偷找比心小姐姐一起打游戏
22,绝地求生,127.2万,/101367,轻语丶619,《乡野大富翁》
23,颜值,118.8万,/9212,奔跑的姜允儿,8月3日 CFPL春季赛总决赛
24,DOTA,113.5万,/2009,伍声2009,今天小董在上海
25,DNF,112.8万,/5022725,DNF黑一阿旭,神秘的直播间 88080
26,绝地求生,112.1万,/5524515,陈死狗cnh,《三号丘比特》第二期
27,传奇,107.4万,/6512,雨神丶,今天的行程由你们决定，厦门
28,火焰纹章,105.2万,/71415,寅子,讲故事 划水
29,跑跑手游,105.1万,/6515547,RJ天王星,最骚二指！又是无敌的一天
30,户外,101.9万,/105025,赛文柒Seven,直播三周年谢谢大家一路支持大家开心8.1
31,王者荣耀,97.6万,/52000,温柚v最强女打野,LPL夏季赛 7月31日重播
32,颜值,96.2万,/3853457,歌神韦爵爷,亚洲钢枪王，人间水蜜桃
33,颜值,94.8万,/5822819,小汉娜Hannah,今晚十点官p，不知道有没有有缘人^ ^
34,绝地求生,94.6万,/19223,气人主播QQQ,今晚D2全明星
35,颜值,94.1万,/4571533,小桃汁a,战友好，8月1你懂！
36,户外,93.6万,/182102,国民大舅哥,6点来！！！！等我！
37,颜值,88.5万,/1282190,鲸鱼欧尼,高端打金者已上线！
38,美食,87.5万,/52285,胖胖C,寅子的游戏教室
39,多多自走棋,85.6万,/5943298,9加老白,激情的一天又来了
40,舞蹈,83.4万,/5201314,珂珂宝丶,还是那么火辣的八月
41,颜值,82万,/6263707,云卷云舒n,排位183连胜冲刺200连胜进行中！！
