address,advantage,area,city,education,formatCreateTime,industry,industryLables,label,link,pompany_name,position_detail,position_id,position_name,salary,size,stage,work_year
"['大山子', '酒仙桥']",弹性工作，福利多多；,朝阳区,北京,本科,1天前发布,消费生活,[],"['带薪年假', '弹性工作', '免费班车', '五险一金']",不存在,车好多旧机动车经纪（北京）有限公司,https://www.lagou.com/jobs/6160029.html,6160029,数据挖掘,15k-25k,2000人以上,D轮及以上,3-5年
,"五险一金,绩效奖金,带薪年假,定期体检",福田区,深圳,硕士,00:00发布,金融,['大数据'],"['绩效奖金 ', '五险一金 ', '带薪年假 ', '年度旅游 ']",不存在,中国平安财产保险股份有限公司,https://www.lagou.com/jobs/6139807.html,6139807,032398-数据挖掘岗,16k-32k,2000人以上,上市公司,3-5年
,十四薪；午餐晚餐；六险一金；地铁周边；,朝阳区,北京,本科,1天前发布,"移动互联网,金融",[],"['14薪', '弹性工作', '零食水果', '午餐晚餐']",职位描述：我们期望：1.计算机或相关专业985本科及以上学历；2.熟悉Java/Python等编程语言，对数据结构和算法设计有较为深刻的理解；3.良好的逻辑思维能力，能够从海量数据中发现有价值的规律；4.优秀的分析和解决问题的能力，对挑战性问题充满激情；5.良好的团队合作精神，较强的沟通能力和学习能力；6.有数据挖掘、机器学习、推荐系统相关经验优先；7.有互联网金融工作经验优先。工作内容：1.风控数据平台建设，包括数据交互、特征提取、数据挖掘、用户画像等；2.风控模型的开发与优化；,北京瓴岳信息技术有限公司,https://www.lagou.com/jobs/6159928.html,6159928,数据挖掘,15k-30k,150-500人,不需要融资,1-3年
"['西直门', '新街口', '展览路']",数据量大、高负载、发展前景好、C轮,西城区,北京,本科,3天前发布,企业服务,"['云计算', '大数据', '算法', 'NLP', '数据分析', '数据处理']","['AI', '大数据', '云服务', '大牛带队']","职位描述：#工作职责:+对公司的业务数据进行分析，挖掘用户行为规律，进行异常检测等；+提供日常数据报表，并分析结果；+对用户特征、需求、行为分析、活跃度、营销活动效果等特定业务的数据挖掘模型的需求分析，建模及实验模拟；+构建客户画像、提供数据服务、搭建数据分析工具。#任职资格:+计算机、数据挖掘等相关专业本科及以上学历；+2年及以上互联网公司数据挖掘经验;+熟练掌握MySQL的使用，掌握PostgreSQL的优先；+对主成分分析、因子分析、分类、聚类、关联分析、回归分析、时间序列预测、方差分解等数据分析方法有深入了解；+至少掌握一门编程语言；+有NLP相关经验者优先；+具有良好的业务敏感度和优秀的数据分析技能，擅长与内部及外部合作团队交流沟通，具有优秀的报告讲解能力及沟通能力。+人品端正，善于沟通，学习、表达能力强，能够承受较强压力，有团队合作精神。公司介绍：Udesk是国内领先的企业级智能客服平台，拥有数千家企业用户，为企业提供了一套集智能问答、即时通讯、VoIP、工单、知识库、数据分析为一体的完整的客服系统解决方案。Udesk知名客户有海底捞、星巴克、凯撒旅游、中青旅耀悦、金山WPS、每日优鲜、58转转、宝洁等。覆盖了餐饮、本地生活、旅游、O2O、企业服务等行业。Udesk在2018年获著名投资机构老虎环球基金青睐，投资金额3亿人民币，君联资本、DCM继续追投。Udesk前端用Ember.js，后台用Java、Ruby、Go。日接口调用量超过200,000,000次。",北京沃丰时代数据科技有限公司,https://www.lagou.com/jobs/5415469.html,5415469,数据挖掘,20k-40k,150-500人,C轮,3-5年
['仓前'],"周末双休,五险一金,节假日福利,年终双薪",余杭区,杭州,硕士,2019-06-22,"移动互联网,医疗丨健康",[],"['股票期权', '绩效奖金', '专项奖金', '年终分红']",职位描述：职位描述：1.负责搜索、推荐、流量中排序建模、关联挖掘、文本分析、用户画像、商品质量等具体技术方向的深入研究和业务场景落地。2.负责搜索、推荐、流量算法和架构的中长期布局，包括技术资源整合和技术体系规划推动。3.负责基于公司业务拓展技术应用的范围。任职要求：1.2年以上相关工作经验，本科以上学历，具有一定互联网搜索、推荐、流量或相关领域的工作经验。2.具备比较优秀的编码能力，熟练掌握JAVA、Python、Hadoop、Spark、Caffe、Tensorflow等开源软件。3.掌握常规数据处理、数据清洗等技能，熟悉机器学习、自然语言处理、深度学习、统计学中一项或多项。4.优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情。,杭州康策网络科技有限公司,https://www.lagou.com/jobs/6074539.html,6074539,数据挖掘,30k-50k,150-500人,不需要融资,3-5年
"['中华', '鼓浪屿', '厦港']","薪酬福利好,成长空间大,平台背景强",思明区,厦门,硕士,1天前发布,金融,"['互联网金融', 'MySQL', 'SQLServer', '算法', '数据挖掘']","['五险一金', '弹性上班', '周末双休', '年底双薪']","职位描述：职位诱惑：弹性上班时间，周末双休，缴纳五险一金薪酬福利好,平台背景强,成长空间大,团队氛围好你将加入的团队：谁牛金融是互联网金融行业中专注于基金投资的平台。由厦门市鑫鼎盛控股有限公司（成立于1997年）旗下子公司厦门多快好省网络科技有限公司运营，多快好省成立于2013年。团队的定位p2p行业？小而乱的代销平台？错错错！我们是证监会批准的第三方基金销售机构。我们开发出业内首款基金智能诊断产品，希望能够帮助更多的用户挑选到更加优质的基金。为什么我们团队有底气因为我们不需要融资，因为我们控股公司实力雄厚，因为我们拥有稀缺的牌照资源（证券投资咨询业务资格、基金销售业务资格、私募基金业务金融机构资格等）等等等等...因此我们有来自后方的大力支持，我们有各种稀缺牌照作为基垫，所以我们才能毫无顾忌得往前冲职责描述：1.结合业务场景，对海量基金/股票数据进行深度数据分析与统计2.自研或改进算法，对基金/基金经理/股票等数据进行应用建模3.算法模型实现及结果验证4.关注数据挖掘及机器学习技术前沿动态，并可以结合场景推进算法模型类产品升级。任职要求：1.人工智能、统计学、数学、物理、计算机、信息科学等专业，硕士及以上学历；2.具有1年及以上数据挖掘、大数据分析相关工作经验；3.英语四级或以上水平，英文科技文献阅读能力强；4.熟悉数据挖掘、机器学习、统计学基础理论，5.熟悉相关模型和算法熟悉针对复杂的业务场景，进行算法选型，语料/数据处理、模型训练、评测及优化；6.熟悉Hadoop,Spark等大数据平台和pandas,scikit-learn等数据分析工具；7.至少熟练掌握Python/Java/R其中一种。我们能为你提供：1、弹性上班，只要9：30点前，睡醒了来，为你错开高峰期，坐一趟舒适的地铁。2、工作日的你为公司辛勤付出，周末让你好好的休息两天3、带薪年假等你来4、绩效奖金在不远处等着你5、为你缴纳五险一金，让你们没有后顾之忧6、免费提供午餐和晚餐7、你的加班打车费不论多远我包了8、当你饿了，我们的下午茶、零食水果都在你身边。9、当你累了，我们带你到户外休闲放松。这么有爱的团队，你还要错过吗？",厦门多快好省网络科技有限公司,https://www.lagou.com/jobs/5219200.html,5219200,数据挖掘工程师,10k-20k,50-150人,不需要融资,1-3年
"['西北旺', '上地', '马连洼']",数据leader,海淀区,北京,本科,2019-07-08,移动互联网,[],[],职位描述：1、通过机器学习、数据挖掘等技术，结合业务知识，帮助客户建立数据挖掘模型，解决金融、工业领域的实际业务问题。2、负责基础算法库、建模工具和建模框架的开发工作，不断对已有算法、工具和框架进行优化，提升数挖效率。3、负责数挖相关需求的沟通和分析4、理解客户数据内容、业务场景需求，并选择适合的技术解决方案岗位要求：1、有4年以上数挖相关研发和项目经验，有团队领导能力和经验；2、熟悉常用机器学习、深度学习等数据挖掘技术，了解不同模型的特性，理解相关数据挖掘算法，并能熟练使用主流的开源数据挖掘工具；3、具有丰富的数据挖掘实践经验，参加过实际的数据挖掘项目或比赛，了解实际建模的一般原则和方法；4、熟悉下列任意一种数据分析软件R/Python，熟悉Hadoop、spark、java，具有分布式数挖或开发经验者优先；5、熟悉linux平台、熟悉脚本（shell、python等）编程；6、具有良好的学习能力、沟通能力和团队合作精神，对待问题积极、乐观、负,沈阳深航动力企业管理咨询有限公司,https://www.lagou.com/jobs/5800416.html,5800416,数据挖掘,20k-30k,150-500人,未融资,3-5年
['岗厦'],"五险一金,周末双休,年终奖",福田区,深圳,本科,1天前发布,移动互联网,[],"['绩效奖金', '年终分红', '带薪年假', '五险一金']",不存在,深圳华策辉弘科技有限公司,https://www.lagou.com/jobs/6155866.html,6155866,数据挖掘工程师,15k-25k,50-150人,未融资,3-5年
"['西北旺', '马连洼']",免费早晚餐，大平台,海淀区,北京,本科,1天前发布,工具,"['移动互联网', '云计算', '数据挖掘', '数据分析', 'MySQL', 'SQLServer']","['股票期权', '弹性工作', '五险一金', '免费班车']",不存在,百度在线网络技术（北京）有限公司,https://www.lagou.com/jobs/6160063.html,6160063,ACG-百度智能云-数据挖掘/分析师,20k-40k,2000人以上,不需要融资,不限
"['西溪', '古墩路', '古墩路']","福利众多,五险一金,技术导向",西湖区,杭州,本科,1天前发布,"移动互联网,硬件","['大数据', '智能硬件', '算法', '数据分析', '数据处理', '数据挖掘']","['5星办公环境', '年底奖金', '团队牛B', '五险一金']",不存在,杭州涂鸦信息技术有限公司,https://www.lagou.com/jobs/5213781.html,5213781,数据挖掘算法工程师,16k-32k,500-2000人,C轮,3-5年
,六险一金，弹性工作，免费三餐，租房补贴,海淀区,北京,本科,1天前发布,文娱丨内容,[],"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",不存在,北京字节跳动科技有限公司,https://www.lagou.com/jobs/6153536.html,6153536,数据挖掘资深工程师-广告数据智能,30k-60k,2000人以上,C轮,3-5年
['张江'],发展空间大，非996，15到20薪,浦东新区,上海,本科,1天前发布,文娱丨内容,"['移动互联网', '数据挖掘', '数据分析', '算法']","['专项奖金', '带薪年假', '弹性工作', '管理规范']",不存在,上海基分文化传播有限公司,https://www.lagou.com/jobs/6156086.html,6156086,资深数据挖掘/算法/机器学习,30k-60k,500-2000人,上市公司,5-10年
,部门技术能力 薪酬福利,高新区,合肥,本科,1天前发布,"移动互联网,数据服务","['大数据', '算法', '数据挖掘']","['绩效奖金', '股票期权', '专项奖金', '年底双薪']",不存在,科大讯飞股份有限公司,https://www.lagou.com/jobs/6157539.html,6157539,数据挖掘算法工程师,15k-25k,2000人以上,上市公司,3-5年
,"工作环境佳,平台大,周末双休",南山区,深圳,本科,2019-07-10,"社交,消费生活",[],"['发展上升型', '朝阳行业', '创业氛围浓厚', '年终分红']",不存在,深圳市珍爱网信息技术有限公司,https://www.lagou.com/jobs/6137152.html,6137152,数据挖掘算法工程师（2020珍爱秋季校园招聘）,15k-25k,2000人以上,不需要融资,应届毕业生
['西溪'],年底多薪 股票期权 节日福利 五险一金,西湖区,杭州,本科,2019-07-12,"数据服务,移动互联网","['大数据', '金融', '数据分析']","['股票期权', '带薪年假', '岗位晋升', '阿里大牛']",不存在,杭州魔蝎数据科技有限公司,https://www.lagou.com/jobs/2268858.html,2268858,数据挖掘,15k-30k,50-150人,B轮,3-5年
