,岗位名称,工作地址,公司,薪资,经验学历,所属行业,岗位福利,任职要求
0,机器学习（音频）,广州·车陂,拉勾猎头,15k-30k,经验3-5年 / 硕士,"移动互联网,企业服务 / D轮及以上 / 500-2000人",“五险一金”,"['\ufeff1、展开与音频相关的机器学习研究和开发工作 2、跟踪并探索国内外最新的技术算法，结合公司的应用场景，提供技术解决方案 3、对算法进行压缩，满足实时性要求 ', '\ufeff1、硕士或以上学历，3年或以上机器学习开发经验； 2、熟悉降噪、回声抑制等音频算法优先； 3、有语音合成，语音识别，音乐人声分离、语音风格化等经验优先。 4、熟悉至少一种当今主流的深度学习框架，包括tensorflow、caffe等； 5、思路清晰，主动性强，有很强的自我驱动力']"
1,机器学习,北京·西直门,Udesk－企业级智能客服平台,15k-30k,经验1-3年 / 硕士,企业服务 / C轮 / 150-500人,"“团队强悍,待遇丰厚,数据规模,场景明确”","['职位描述：', '+ 企业服务领域智能化场景的业务分析、数据建模和数据优化。', '任职要求：', '+ 1年以上相关工作经验，有落地的产品；', '+ 优秀的业务理解、目标制定、沟通能力；', '+ 精通机器学习算法，丰富的数据分析、挖掘、建模经验，有NLP经验更佳；', '+ 有TensorFlow/PaddlePaddle等深度学习工具经验；', '+ 良好的开发能力（SQL/Java/Python/R/Scala等），了解大数据开发平台（Hadoop/Hive/Spark/Storm)。', '公司介绍', '寻找有梦想，爱学习的实力派！', 'Udesk是国内领先的智能服务平台，拥有数万家云上企业用户，云平台日访问量数亿次，通过整合整合ABC（AI、Big Data、Cloud Computing）为企业提供了一套集智能问答机器人、即时通讯、VoIP、工单、知识库、数据分析为一体的全场景的智能客服系统解决方案。', 'Udesk知名客户有光大银行、海底捞、星巴克、故宫博物院、皇家加勒比游轮、凯撒旅游、中青旅耀悦、WPS、印象笔记、巧虎、养乐多等。覆盖了股份银行、餐饮、本地生活、旅游、O2O、企业服务等行业。', 'Udesk于2018年9月完成C轮3亿人民币融资，投资方为老虎环球基金、君联资本、DCM。公司收入增长迅速，现金流充足，不烧钱、不依赖融资。', '产品介绍', '\xa0\xa0\xa0 Ubot-智能问答机器人—多轮交互，自主学习，知识图谱', '\xa0\xa0\xa0 Udesk智能客服平台—智能化，数据驱动，云服务，企业级', '\xa0\xa0\xa0 Insight客服大数据—数据驱动，实时监控，大屏显示', '\xa0\xa0\xa0 Udesk前端用Ember.js，后台用Java、Ruby、Go。日接口调用量超过200,000,000次。']"
2,机器学习工程师,深圳·科技园,AKULAKU,25k-35k,经验3-5年 / 硕士,"移动互联网,金融 / D轮及以上 / 500-2000人",“行业前景 氛围轻松 奖金丰厚 发展快速”,"['工作职责：\xa0', '1、整合基础业务，对基础风险数据库进行更新和维护，参与设备数据的深度分析与挖掘；\xa0', '2、参与风险因素的定义，将业务痛点转换成数据理解，用数据分析和算法来解决风控难题，并开展实施计划；\xa0', '3、对数据进行清洗和预处理，构建模型，训练模型，部署模型并持续优化算法；\xa0', '4、探索前沿方法运用到生产实践中。', '职位要求：\xa0', '1、统计学、数学、计算机科学与技术、软件工程等本科及以上学历，有数据挖掘经验；\xa0', '2、扎实的数据结构及算法功底，工程实现能力强，熟悉常见的机器学习算法包括但不仅限于（分类，聚类，回归，预测，深度学习等）；\xa0', '3、熟练掌握sql语言，会使用python或者java语言；\xa0', '4、熟悉spark，flink等分布式计算平台，大规模数据处理经验更佳；\xa0', '5、对模型的分布式训练方法熟悉，对模型Serving有一定的了解，会docker使用更佳；\xa0', '6、具有主动沟通的习惯，有耐心，进取心，情绪稳定，谦虚，有责任感。']"
3,机器学习工程师,北京·朝阳区,必要商城,30k-50k,经验3-5年 / 本科,电商 / 不需要融资 / 150-500人,"“C2M,盈利平台”","['工作职责:', '1、从事大规模机器学习、深度学习等算法的研发；', '2、跟踪数据挖掘或统计学习领域的前沿技术,并用于实际问题的建模和优化；', '3、通过对数据的敏锐洞察,深入挖掘产品潜在价值和需求,进而提供更有价值的技术和策略,推动产品成长；', '4、完成上级领导交付的工作任务。', '任职资格:', '1、本科以上学位, 计算机专业机器学习、数据挖掘处理方向；数学专业统计学、应用数学方向优先;', '2、精通常用算法和数据结构，对机器学习算法有较强的实现能力;', '3、理解机器学习基本算法的设计思想和求解手段，如DNN,SVM, LR, RF, Boosting等。有大规模机器学习系统研发经验或机器学习算法优化理论的研究经验者优先;', '4、有搜索引擎、广告投放系统、推荐系统等相关技术的研究或实践经验者优先;', '5、良好的逻辑思维能力，对数据敏感，能够发现关键数据、抓住核心问题;', '6. 在顶级国际期刊或国际会议上发表论文，或参加相关国际比赛获奖，及持有相关专利者优先。']"
4,资深数据挖掘/算法/机器学习,上海·张江,趣头条,30k-60k,经验5-10年 / 本科,文娱丨内容 / 上市公司 / 500-2000人,“发展空间大，非996，15到20薪”,"['岗位职责', '1. 负责渠道拉新流量反作弊，形成通用化模型算法或规则监控渠道质量，识别作弊渠道，优化渠道投放；', '2. 负责业务防刷量反作弊，通过模型算法对进行人机识别，对抗灰产和羊毛党；', '3. 通过大数据分析和数据挖掘，为不同业务提供反作弊决策支持；', '4. 从设备信息、用户行为等多纬度提取特征并建模，发现异常用户。', '任职要求', '1. 熟悉各类作弊场景的动机手段，能够针对性的制定反作弊算法、特征和模型，有反作弊或风控经验者优先；', '2. 责任心强，思维敏捷，数据敏感度高，有创新精神，善于沟通，有团队精神；', '3. 拥有海量数据处理经验，熟悉Spark/Hive等分布式系统，动手能力强，具有良好的编程风格；', '4. 能熟练使用SQL/R/python等统计分析语言及常见算法包(如：sklearn/pytorch/tensorflow等)；', '5. 深入理解常见的数据挖掘、机器学习、深度学习算法原理(如：决策树、聚类、随机森林、神经网络等)，能够结合实际业务问题灵活运用并输出结果；', '6. 本科以上学历，计算机、统计学、数学相关专业优先，有3年以上算法、广告、用户行为等相关工作经验；', '7. 有做过项目Owner 或者 技术 Leader 者优优优优优优优优先。']"
5,资深机器学习工程师,北京·海淀区,新浪微博,50k-90k,经验5-10年 / 本科,文娱丨内容 / 上市公司 / 2000人以上,“大平台 成长空间”,[]
6,机器学习算法工程师,北京·五道口,Bigo,30k-50k,经验不限 / 本科,"移动互联网,社交 / 上市公司 / 2000人以上",“技术深研、落地场景丰富、数据量丰富”,[]
7,机器学习算法工程师,北京·朝阳区,小步在家早教,20k-40k,经验1-3年 / 硕士,"移动互联网,教育 / A轮 / 150-500人",“六险一金、年终15薪 、每月团建、”,[]
8,机器学习算法工程师,深圳·大冲,威富通,18k-30k,经验3-5年 / 本科,移动互联网 / 上市公司 / 500-2000人,“六险一金、安居计划、年度健康体检”,"['1、全日制本科以上学历，计算机、数学、统计、信息科学等相关专业毕业；\xa0', '2、三年以上大数据挖掘和建模经验，熟悉分类、回归、聚类、图算法、文本分析、深度学习等3种以上算法及原理；\xa0', '3、精通SQL\xa0、Python、R、C、C++、Java、scala等中至少2种编程语言，有基于Hadoop/Spark大数据平台开发经验；\xa0', '4、有较强的数据敏感度，具备海量数据处理经验，能从海量数据提炼核心结果；\xa0', '5、有较强的逻辑思维能力、独立思考能力、归纳分析能力，具备良好的沟通能力和团队合作精神；\xa0', '6、有互联网和金融行业从业经历者优先，获得过知名机器学习/算法竞赛奖励优先。']"
9,算法工程师机器学习方向,深圳·科技园,微赢世纪,20k-40k,经验3-5年 / 本科,"人工智能,工具 / 天使轮 / 15-50人",“大牛带队、自我提升、股票期权”,"['岗位职责：', '1.负责计算机视觉相关算法的选型、研发和优化；', '2.实现基于深度学习的语义分割、目标识别模型', '3.结合业务需求进行算法的优化及性能调优；', '\xa0 \xa0 \xa0\xa0', '岗位要求：', '1. 计算机科学、电子工程、统计学、数学等相关专业本科及以上学历', '2. 1年以上深度学习经验，对机器视觉、深度学习有较深的理解；', '3. 熟练掌握pytorch，tensorflow等深度学习框架的一种或多种并有相关项目经验', '4. 有计算机视觉项目大规模样本训练、调优、应用经验者优先。']"
10,机器学习算法工程师,北京·朝外,阳光保险集团,20k-40k,经验不限 / 硕士,金融 / 不需要融资 / 2000人以上,“大平台、技术大牛团队、成长快”,"['工作职责：', '1.\xa0\xa0\xa0 参与公司机器学习算法应用项目，结合公司实际业务问题，进行算法设计和开发实现、性能优化；', '2.\xa0\xa0\xa0 参与机器学习前沿问题的探索与研究，结合未来实际应用场景，提供技术解决方案。', '3.\xa0\xa0\xa0 参与深度学习的核心算法模型研究工作，为自然语言处理（如文本知识挖掘和知识推理、自动问答和对话、信息抽取、语义分析、知识图谱）、语音识别和合成等领域提供算法和模型支持；', '\xa0', '任职资格：', '1.\xa0\xa0\xa0 硕士以上学历，计算机、数学、统计学等机器学习相关专业，有良好的数学基础及建模能力；', '2.\xa0\xa0\xa0 熟悉机器学习、模式识别、人工智能等领域的相关常用算法；', '3． 精通至少一种编程语言，如 Python、R、Java、C/C++ 等；', '4.\xa0\xa0\xa0 有独立研究能力, 勇于挑战和创新，工作主动性强，具有良好的团队精神、责任感强，具有良好的沟通能力及技巧。']"
11,机器学习,北京·望京,阿里巴巴-高德,25k-50k,经验3-5年 / 本科,工具 / 上市公司 / 2000人以上,“阿里平台”,"['1. 利用机器学习算法处理时空大数据，提升高德地图的出行服务质量。业务范畴包括但不限于：路径规划，路线旅行时间及流量预测，路线推荐，用户行为分析、地图数据质量提升等。', '2. 指导或参与数据可视化分析、算法选型、数据清洗、模型搭建、参数调优、工程化上线、用户反馈跟踪的全链路研发。', '职位要求：', '1. 拥有扎实的统计学功底，对数据敏感、深刻理解和熟练运用各类主流机器学习算法，包括但不限于线性模型、树模型、概率图模型、深度学习模型（CNN、RNN等）、迁移学习、强化学习（其中若干种即可）；或拥有扎实的运筹算法功底，包括但不限于整数规划、VRP算法等。', '2. 开发严谨高效，掌握Python、R或C++。有使用sklearn、tensorflow等开源工具的经验。', '3. 拥有5年以上工业界通用机器学习算法项目的研发经历，包括但不限于搜索推荐算法、自然语言处理、计算机视觉等方向（其一即可）。或运筹调度等算法项目的研发经历。', '4. 热爱出行行业，思辨能力强，沟通协作意识好，责任心及结果导向意识强。', '5. 硕士及以上（重点大学优先）', '6. 加分项：Kaggle等竞赛的优胜经历，或ACM编程竞赛的获奖经历，或熟练的英文读写能力']"
12,机器学习,长沙·麓谷,星汉数智,10k-15k,经验不限 / 硕士,"移动互联网,数据服务 / 未融资 / 50-150人","“扁平化管理,周末双休,五险一金,交通补助”","['工作职责：', '1，研究机器学习或深度学习领域的前沿技术,并用于实际问题的解决和优化', '2，负责自然语言处理或计算机视觉核心技术的研发工作', '3，工作包括但不限于：文本分词，命名实体识别，知识抽取，认知学习，医学图像处理，图像分类，人脸检测识别等', '职责要求：', '1，创造性思维，富有想象力，有推进人工智能的理想和使命感', '2，掌握机器学习基本算法，并在自然语言处理或计算机视觉方向有较深入研究', '3，熟练掌握一门编程语言C/C++/Java/Python', '4,具有良好的沟通能力和良好的团队合作精神']"
13,深度/机器学习,北京·中关村,深睿医疗,25k-50k,经验不限 / 硕士,"移动互联网,医疗丨健康 / B轮 / 150-500人","“大牛,人性化管理,靠谱团队,技术氛围好”",[]
14,机器学习/深度学习,北京·中关村,小库科技,25k-50k,经验3-5年 / 硕士,移动互联网 / A轮 / 50-150人,“技术大牛多、弹性、年度培训基金、薪资中上”,[]
