actors,country,cover,desc,director,download_url,duration,rating,screen_shot,title,type,year
"['松本梨香 Rica Matsumoto', '大谷育江 Ikue Ootani', '林原惠美 Megumi Hayashibara', '三木真一郎 Shinichirô Miki', '犬山犬子 Inuko Inuyama', '石冢运升 Unshô Ishizuka', '川荣李奈 Rina Kawaei', '芦田爱菜 Mana Ashida', '滨田岳 Gaku Hamada', '大仓孝二 Koji Ookura', '中川翔子 Shôko Nakagawa', '野泽雅子 Masako Nozawa', '山寺宏一 Kôichi Yamadera']",日本,https://www.z4a.net/images/2019/08/24/22eb86dcc595d4aec.jpg,"['在人们与风共度的城镇·风罗市，每年都会举行一次“风祭”。在祭典的最后一天，传说中的宝可梦·洛奇亚会出现，并带来恩惠之风——在这样的古老传说仍然流传之际，聚集在城镇的人们怀抱各自的心绪前去参加祭典……。', '宝可梦的新手女高中生，莉莎。停不下说谎的吹牛男人，卡加奇。对自己没有自信的软弱研究家，托利托。厌恶宝可梦的古怪婆婆，翡翠。独自一人伫立于森林中的神秘少女，拉尔戈。', '小智、皮卡丘与他们相遇，驱动起大家的故事——。', '']",矢岛哲生 Tetsuo Yajima,ftp://ygdy8:ygdy8@yg90.dydytt.net:8602/阳光电影www.ygdy8.com.精灵宝可梦：大家的故事.BD.720p.国粤日三语中字.mkv,97分钟,6.9/10 from 2375 users,https://lookimg.com/images/2019/08/24/pIL59.jpg,2019年动画《精灵宝可梦：大家的故事》BD国粤日三语中字,动画/奇幻/冒险,2018
"['刘德华 Andy Lau', '古天乐 Louis Koo', '苗侨伟 Kiu Wai Miu', '林嘉欣 Karena Lam', '周秀娜 Chrissie Chaw', '应采儿 Cherrie Ying', '陈家乐 Carlos Chan', '卫诗雅 Michelle Wai', '郑则仕 Kent Cheng', '张国强 Kwok Keung Cheung', '陈佩诗 Peishi Chen', '狼森 Philippe Joly', '欧阳靖 Jin Auyeung', '恭硕良 Jun Kung', '林家栋 Ka Tung Lam', '李赏 Faith Lee', '张竣杰 Chun Kit Chang', '李灿森 Sam Lee']",中国/中国香港,https://extraimage.net/images/2019/08/23/eab94947790c554b44a91f820efa68c0.jpg,"['毒品市场维持四分天下的格局已久，但自从地藏与墨西哥大毒枭跨境合作扩展势力，再加上一连串黑吃黑的动作，毒界变得风声鹤唳。另一方面，因儿时亲眼目睹父亲被毒品所毁而嫉毒如仇的慈善家兼金融巨子余顺天，正悬赏一亿歼灭香港最大毒贩，此举在社会上引起轩然大波。警员林正风本致力搜证拘捕地藏，毒贩却因巨额悬赏导致人身安全受威胁，他在执行保护毒贩的任务时深感无奈，但又被余顺天的出价所诱惑，陷入黑白正邪的心理挣扎。原来，余顺天和地藏有不可告人的同门关系，一场天地对决一触即发。', '']",邱礼涛 Herman Yau,ftp://ygdy8:ygdy8@yg45.dydytt.net:8499/阳光电影www.ygdy8.com.扫毒2：天地对决.HD.1080p.国粤双语中字.mkv,99分钟,"6.2/10 from 109,063 users",https://lookimg.com/images/2019/08/23/p1PLJ.jpg,2019年悬疑动作《扫毒2：天地对决》HD国粤双语中字,剧情 / 动作 / 悬疑 / 犯罪,2019
"['小罗伯特·唐尼 Robert Downey Jr.', '克里斯·埃文斯 Chris Evans', '马克·鲁弗洛 Mark Ruffalo', '克里斯·海姆斯沃斯 Chris Hemsworth', '斯嘉丽·约翰逊 Scarlett Johansson', '杰瑞米·雷纳 Jeremy Renner', '保罗·路德 Paul Rudd', '凯伦·吉兰 Karen Gillan', '唐·钱德尔 Don Cheadle', '布丽·拉尔森 Brie Larson', '布莱德利·库珀 Bradley Cooper', '泰莎·汤普森 Tessa Thompson', '汤姆·赫兰德 Tom Holland', '伊丽莎白·奥尔森 Elizabeth Olsen', '本尼迪克特·康伯巴奇 Benedict Cumberbatch', '蒂尔达·斯文顿 Tilda Swinton', '格温妮斯·帕特洛 Gwyneth Paltrow', '蕾妮·罗素 Rene Russo', '约翰·斯拉特里 John Slattery', '查德维克·博斯曼 Chadwick Boseman', '安东尼·麦凯 Anthony Mackie', '塞巴斯蒂安·斯坦 Sebastian Stan', '克里斯·帕拉特 Chris Pratt', '汤姆·希德勒斯顿 Tom Hiddleston', '佐伊·索尔达娜 Zoe Saldana', '丹娜·奎里拉 Danai Gurira', '本尼迪克特·王 Benedict Wong', '庞·克莱门捷夫 Pom Klementieff', '戴夫·巴蒂斯塔 Dave Bautista', '利蒂希娅·赖特 Letitia Wright', '伊万杰琳·莉莉 Evangeline Lilly', '乔恩·费儒 Jon Favreau', '海莉·阿特维尔 Hayley Atwell', '娜塔莉·波特曼 Natalie Portman', '玛丽莎·托梅 Marisa Tomei', '塔伊加·维迪提 Taika Waititi', '安吉拉·贝塞特 Angela Bassett', '迈克尔·道格拉斯 Michael Douglas', '米歇尔·菲佛 Michelle Pfeiffer', '威廉·赫特 William Hurt', '寇碧·史莫德斯 Cobie Smulders', '肖恩·古恩 Sean Gunn', '温斯顿·杜克 Winston Duke', '琳达·卡德里尼 Linda Cardellini', '马克斯米利亚诺·赫尔南德斯 Maximiliano Hernández', '弗兰克·格里罗 Frank Grillo', '真田广之 Hiroyuki Sanada', '汤姆-沃恩-劳勒 Tom Vaughan-Lawlor', ""詹姆斯·达西 James D'Arcy"", '雅各布·巴特朗 Jacob Batalon', '范·迪塞尔 Vin Diesel', '罗伯特·雷德福 Robert Redford', '乔什·布洛林 Josh Brolin', '塞缪尔·杰克逊 Samuel L. Jackson', '伊薇特·尼科尔·布朗 Yvette Nicole Brown', '卡梅伦·布鲁姆布罗 Cameron Brumbelow', '蒂莫西·卡尔 Timothy Carr', '凯瑞·康顿 Kerry Condon', '迈克尔·A·库克 Michael A. Cook', '凯莉·库恩 Carrie Coon', '艾玛·福尔曼 Emma Fuhrmann', '雷纳·加拉赫 Renah Gallagher', '丹妮拉·加斯基 Daniela Gaskie', '郑肯 Ken Jeong', '小弗洛伊德·安东尼·约翰 Floyd Anthony Johns Jr.', '斯坦·李 Stan Lee', '罗斯·马昆德 Ross Marquand', '布伦特·麦吉 Brent McGee', '迈克尔·皮耶里诺·米勒 Michael Pierino Miller', '卡兰·马尔韦 Callan Mulvey', '泰瑞·诺塔里 Terry Notary', '吉米·雷·皮肯斯 Jimmy Ray Pickens', '迈克尔·詹姆斯·肖 Michael James Shaw', '泰·辛普金斯 Ty Simpkins', '格雷格·蒂芬 Greg Tiffan']",美国,https://extraimage.net/images/2019/07/29/3cc4813f9364426c8beb4da39eb132d1.jpg,"['一声响指，宇宙间半数生命灰飞烟灭。几近绝望的复仇者们在惊奇队长（布丽·拉尔森BrieLarson饰）的帮助下找到灭霸（乔什·布洛林JoshBrolin饰）归隐之处，却得知六颗无限宝石均被销毁，希望彻底破灭。如是过了五年，迷失在量子领域的蚁人（保罗·路德PaulRudd饰）意外回到现实世界，他的出现为幸存的复仇者们点燃了希望。与美国队长（克里斯·埃文斯ChrisEvans饰）冰释前嫌的托尼（小罗伯特·唐尼RobertDowneyJr.饰）找到了穿越时空的方法，星散各地的超级英雄再度集结，他们分别穿越不同的时代去搜集无限宝石。而在这一过程中，平行宇宙的灭霸察觉了他们的计划。', '注定要载入史册的最终决战，超级英雄们为了心中恪守的信念前仆后继……', '◎获奖情况', '第28届MTV电影奖\xa0(2019)', 'MTV电影奖年度电影', 'MTV电影奖最佳打斗(提名)乔什·布洛林\xa0/\xa0克里斯·埃文斯', 'MTV电影奖最佳反派乔什·布洛林', 'MTV电影奖最佳英雄形象小罗伯特·唐尼', '', '第5届豆瓣电影年度榜单\xa0(2018)', '最值得期待的外语电影', '']",安东尼·罗素 Anthony Russo,ftp://ygdy8:ygdy8@yg45.dydytt.net:8498/阳光电影www.ygdy8.com.复仇者联盟4：终局之战.BD.720p.国英双语双字.mkv,181分钟,"8.6/10 from 629,978 users",https://lookimg.com/images/2019/08/22/p4K3m.jpg,2019年科幻动作《复仇者联盟4：终局之战》BD国英双语双字,动作/科幻/奇幻/冒险,2019
"['桥爪功 Isao Hashizume', '吉行和子 Kazuko Yoshiyuki', '西村雅彦 Masahiko Nishimura', '夏川结衣 Yui Natsukawa', '中岛朋子 Tomoko Nakajima', '林家正蔵 Hayashiya Shozo', '妻夫木聪 Satoshi Tsumabuki', '苍井优 Yu Aoi', '藤山扇治郎 Senjirō Fujiyama', ""广冈由里子 Yuriko Hiro'oka"", '北山雅康 Masayasu Kitayama', '大沼柚希 Yûki Tokunaga', '小林飒 Kai Kobayashi', '小川绘莉 Eri Ogawa', '徳永雄辉 Yuuki Tokunaga', '小林稔侍 Nenji Kobayashi', '风吹淳 Jun Fubuki', '木场胜己 Katsumi Kiba', '立川志らく Shiraku Tatekawa', '笹野高史 Takashi Sasano', '笑福亭鹤瓶 Tsurubei Shofukutei']",日本,https://extraimage.net/images/2019/08/22/7f6f7e6102435064b57d163dcbc6cebc.jpg,"['此次的故事将围绕“妻子”展开。史枝（夏川结衣饰）作为家庭主妇，与丈夫幸之助（西村雅彦饰）、2个儿子以及公婆住在一起。某天下午，家里遭小偷，藏在冰箱里的私房钱被洗劫一空。在丈夫的抱怨中，史枝决心离家出走，而平田家也因此陷入混乱。因为富子（吉行和子饰）身体不好，周造（桥爪功饰）开始与打扫、洗衣、做饭展开“恶战”，并深切体会到史枝的不易。然而史枝并没有回家的意思，平田家不得不再次召开紧急家庭会议……', '◎获奖情况', '第43届报知映画赏\xa0(2018)', '最佳男配角(提名)西村雅彦', '', '第5届豆瓣电影年度榜单\xa0(2018)', '评分最高的日本电影(提名)', '']",山田洋次 Yôji Yamada,ftp://ygdy8:ygdy8@yg45.dydytt.net:7498/阳光电影www.ygdy8.com.家族之苦3.BD.720p.日语中字.mkv,123分钟,"7.9/10 from 11,339 users",https://lookimg.com/images/2019/08/22/p4g7A.jpg,2018年剧情喜剧《家族之苦3》BD日语中字,喜剧/剧情,2018
"['罗美兰 Mi-ran Ra', '李圣经 Sung-Kyung Lee', '尹相铉 Sang-hyun Yun', '崔秀英 Sooyoung Choi', '廉惠兰 Yum Hye-ran', '魏河俊 Ha-joon Wi', '朱宇宰 Woo-Jae Joo', '姜宏硕 Kang Hong-suk', '金道完 Do-wan Kim', '安昌焕 Chang-hwan An', '李贞敏 Lee Jung-min', '朴素恩 Park So-eun', '赵炳奎 Byeong-gyu Jo']",韩国,https://extraimage.net/images/2019/08/21/b24af712189aba157506649140c364a1.jpg,"['讲述虽然是传说中有名的Ace刑警，但在结婚后就到了民怨室工作的美英(罗美兰)和闯祸后被驱逐到民怨室的警察智慧(李圣经)相遇，偶然追赶犯罪事件的动作喜剧故事。', '故事中罗美兰饰演过去是机动队的王牌，结婚生子后放弃了梦想在民怨室担任主务工作的警察美英。李圣经饰演虽然在强力班抱有梦想但因为意欲过多接连发生事故后被派遣往民怨室的智慧。', '影片描写了两人偶然卷入犯罪事件，并一起扫荡犯人的喜剧过程。罗美兰和李圣经虽然互相争吵的关系，但在抓捕犯人面前却不惜肆意展现义气的桀骜不驯的魅力，在调查过程中展现出的两位演员的武打动作也将给观众带来趣味性。', '']",郑多元 Da-Won Jung,ftp://ygdy8:ygdy8@yg45.dydytt.net:6181/阳光电影www.ygdy8.com.女警.HD.720p.韩语中字.mkv,107分钟,"6.8/10 from 6,875 users",https://lookimg.com/images/2019/08/21/pNGTn.jpg,2019年动作喜剧《女警/女警探》BD韩语中字,喜剧/动作/悬疑/犯罪,2019
"['克莱伦斯·埃文特', '斯努普狗狗', ""吹牛老爹 Sean 'P. Diddy' Combs"", '莱昂内尔·里奇', '苏珊娜·德帕塞', '大卫·格芬 David Geffen', '杰里·莫斯', '赛西莉·泰森', '吉米·詹姆 Jimmy Jam', '特里·刘易斯 Terry Lewis', '杰米·福克斯 Jamie Foxx', '◎简\u3000\u3000介', '几十年以来，世界上最知名的艺人、运动员和政治家在他们人生和职业生涯中最关键的时刻都向一个人寻求建议，包括格莱美奖®得主、名人堂成员、世界重量级拳击冠军和两位美国总统。此人就是克莱伦斯·埃文特。', '《黑人音乐教父》讲述了埃文特非凡而传奇的成名历程，这位音乐界高层通过自己开创性的幕后成就打造出众多杰出人物，例如比尔·威瑟斯、昆西·琼斯、穆罕默德·阿里、汉克·阿伦，以及总统比尔·克林顿和巴拉克·奥巴马。', '根深蒂固的种族主义已渗透到美国的每一个角落，在平等、忠诚和正义感的驱使下，埃文特摆脱南方的种族歧视制度，成为了一名出色的谈判专家。埃文特打破了人们对于黑人高管的概念，为有色人种艺人和高管重新定义娱乐圈，其利他主义的精神，也激励后人纷纷效仿。', '《黑人音乐教父》由荣获奥斯卡金像奖®提名的雷吉纳·哈德林执导，采访了斯努普狗狗、吹牛老爹、莱昂内尔·里奇、苏珊娜·德帕塞、大卫·格芬、杰里·莫斯、赛西莉·泰森、吉米·詹姆、特里刘易斯和杰米·福克斯等人，本片聚焦于将整个职业生涯奉献给照耀他人的音乐教父，揭秘了这位大师的真实故事。', '', '【下载地址】', '', '磁力链下载点击这里', '', '', '', '', '', '', '', 'ftp://ygdy8:ygdy8@yg45.dydytt.net:5058/阳光电影www.ygdy8.com.黑人音乐教父.BD.720p.中英双字幕.mkv', '', '', '', '', '', '']",美国,https://extraimage.net/images/2019/08/21/7e54c06554a7ce16c0f08063a7698790.jpg,"['几十年以来，世界上最知名的艺人、运动员和政治家在他们人生和职业生涯中最关键的时刻都向一个人寻求建议，包括格莱美奖®得主、名人堂成员、世界重量级拳击冠军和两位美国总统。此人就是克莱伦斯·埃文特。', '《黑人音乐教父》讲述了埃文特非凡而传奇的成名历程，这位音乐界高层通过自己开创性的幕后成就打造出众多杰出人物，例如比尔·威瑟斯、昆西·琼斯、穆罕默德·阿里、汉克·阿伦，以及总统比尔·克林顿和巴拉克·奥巴马。', '根深蒂固的种族主义已渗透到美国的每一个角落，在平等、忠诚和正义感的驱使下，埃文特摆脱南方的种族歧视制度，成为了一名出色的谈判专家。埃文特打破了人们对于黑人高管的概念，为有色人种艺人和高管重新定义娱乐圈，其利他主义的精神，也激励后人纷纷效仿。', '《黑人音乐教父》由荣获奥斯卡金像奖®提名的雷吉纳·哈德林执导，采访了斯努普狗狗、吹牛老爹、莱昂内尔·里奇、苏珊娜·德帕塞、大卫·格芬、杰里·莫斯、赛西莉·泰森、吉米·詹姆、特里刘易斯和杰米·福克斯等人，本片聚焦于将整个职业生涯奉献给照耀他人的音乐教父，揭秘了这位大师的真实故事。', '']",雷吉纳·哈德林 Reginald Hudlin,ftp://ygdy8:ygdy8@yg45.dydytt.net:5058/阳光电影www.ygdy8.com.黑人音乐教父.BD.720p.中英双字幕.mkv,118分钟,,https://lookimg.com/images/2019/08/21/pNMtq.jpg,2019年纪录片《黑人音乐教父》BD中英双字幕,纪录片,2019
"['朱迪·丹奇 Judi Dench', '索菲·库克森 Sophie Cookson', '斯蒂芬·坎贝尔·莫尔 Stephen Campbell Moore', '汤姆·休斯 Tom Hughes', '弗雷迪·加米那拉 Freddie Gaminara', '劳伦斯·斯佩尔曼 Laurence Spellman', '特雷扎·萨博瓦 Tereza Srbova', '本·迈尔斯 Ben Miles', '罗宾·索恩斯 Robin Soans', '凯文·福勒 Kevin Fuller', '斯蒂芬·鲍克思 Stephen Boxer', '艾德·伯奇 Ed Birch', '史蒂芬·萨姆森 Stephen Samson', '尼娜·索珊娅 Nina Sosanya']",英国,https://extraimage.net/images/2019/08/19/3fad95eccac88136593830eda313343c.jpg,"['朱迪·丹奇、索菲·库克森将参演谍战题材新片[赤姝谍魅](RedJoan，暂译)，影片改编自2014年出版的同名小说，创作灵感来自潜伏在英国最长寿的克格勃女间谍。库克森与丹奇将在片中分别饰演青年和老年时代的女间谍琼。英国知名莎剧导演崔佛·纳恩将执导这部关于信仰、爱情与政局的影片。', '']",崔佛·纳恩 Trevor Nunn,ftp://ygdy8:ygdy8@yg45.dydytt.net:8497/阳光电影www.ygdy8.com.红琼.BD.720p.中英双字幕.mkv,101分钟,"6.9/10 from 1,487 users",https://lookimg.com/images/2019/08/20/pWn2R.jpg,2019年惊悚《红琼/红色密令》BD中英双字幕,剧情/惊悚/传记,2019
"['柳承龙 Seung-yong Ryoo', '李东辉 Dong-Hwi Lee', '李荷妮 Ha-nui Lee', '陈善圭 Jin Sun-kyu', '申河均 Ha-kyun Shin']",韩国,https://www.z4a.net/images/2019/03/20/had.jpg,"['李炳宪导演([二十])的新作[极限职业]卡司确定，演员柳承龙、李东辉、李哈妮、陈善圭、申河均确定出演该片。影片讲述毒品侦查班的故事。柳承龙、李东辉、李哈妮、陈善圭将饰演缉毒刑警。该片将于4月投入拍摄。', '']",李炳宪 Byeong-Heon Lee,ftp://ygdy8:ygdy8@yg45.dydytt.net:7497/阳光电影www.ygdy8.com.极限职业.BD.720p.韩语中字.mkv,111分钟,7.7/10 from 67417 users,https://lookimg.com/images/2019/03/19/jNop5.jpg,2019年喜剧《极限职业/极端职业》BD韩语中字[更新],喜剧/犯罪,2019
"['泰勒·拉塞尔 Taylor Russell', '洛根·米勒 Logan Miller', '黛博拉·安沃尔 Deborah Ann Woll', '泰勒·莱伯恩 Tyler Labine', '杰·埃利斯 Jay Ellis', '尼克·多达尼 Nik Dodani', '杰西卡·萨顿 Jessica Sutton', '约里克·范·韦杰宁根 Yorick van Wageningen', '杰米-李·蒙尼 Jamie-Lee Money', '亚当·罗比特尔 Adam Robitel', '韦尔·廷德尔 Vere Tindale', '肯尼思·霍 Kenneth Fok', '科尼利厄斯·吉尼 Cornelius Geaney Jr.', '保罗·汉普赛尔 Paul Hampshire', '佩泰·塞彭克 Pete Sepenuk', '丹·格伦伯格 Dan Gruenberg', '吉诺·李 Gino Lee']",美国,https://extraimage.net/images/2019/04/08/244aaddf8201fc7c3fbb844f142f414e.jpg,"['六位身份各异的陌生人，为赢取高额奖金，在神秘盒子的指引下受邀参与世界顶级密室逃脱游戏。谁知密室内布局精良机关重重，陷阱遍布杀机暗藏。是刺激游戏，还是博命赌局？谁在背后操控这一切？谁能够成功破解谜局，逃出生天？', '']",亚当·罗比特尔 Adam Robitel,ftp://ygdy8:ygdy8@yg90.dydytt.net:8601/阳光电影www.ygdy8.com.密室逃生.BD.720p.国英双语双字.mkv,100分钟,7.3/10 from 92131 users,https://lookimg.com/images/2019/08/20/pWE1A.jpg,2019年悬疑惊悚《密室逃生》BD国英双语双字,悬疑/惊悚,2019
"['帕顿·奥斯瓦尔特 Patton Oswalt', '凯文·哈特 Kevin Hart', '哈里森·福特 Harrison Ford', '艾瑞克·斯通斯崔特 Eric Stonestreet', '珍妮·斯蕾特 Jenny Slate', '蒂凡尼·哈迪斯 Tiffany Haddish', '蕾克·贝尔 Lake Bell', '达纳·卡维 Dana Carvey', '鲍比·莫尼汉 Bobby Moynihan', '汉尼拔·布勒斯 Hannibal Buress', '克里斯·雷纳德 Chris Renaud', '艾丽·坎伯尔 Ellie Kemper', '皮特·霍尔姆斯 Pete Holmes', '尼克·克罗尔 Nick Kroll', '肖恩·吉布朗尼 Sean Giambrone', '梅雷迪斯·萨拉格尔 Meredith Salenger', '迈克尔·贝亚蒂 Michael Beattie', '大卫·阿克德 David Acord', '斯科特·摩西尔 Scott Mosier', '杰米·卡米尔 Jaime Camil', '拉瑞恩·纽曼 Laraine Newman', '布莱恩·T·德莱尼 Brian T. Delaney', '杰西卡·迪西可 Jessica Di Cicco', '桑德拉·艾切维里亚 Sandra Echeverría', '加斯·詹宁斯 Garth Jennings', '塔拉·斯特朗 Tara Strong', '弗雷德·塔特西奥 Fred Tatasciore', '约翰·卡西尔 John Kassir', '斯科特·门维尔 Scott Menville', '马修·伍德 Matthew Wood']",美国,https://extraimage.net/images/2019/08/19/42b05fc781db544002dc9d06b27fab9f.jpg,"['《爱宠大机密2》将延续2016年夏天轰动一时的《爱宠大机密》的故事，讲述宠物在我们每天离家工作或上学后的生活。照明娱乐创始人兼首席执行官克里斯·梅勒丹德利和他长久以来的合作伙伴珍娜·海莉将共同制作这部续集。《爱宠大机密》是当时开画成绩最好的原创电影，不论是动画片还是其他类型。', '《爱宠大机密2》继续由布莱恩·林奇（《小黄人大眼萌》）编剧，并再一次由克里斯·雷纳德（《神偷奶爸》系列，《老雷斯的故事》）执导。', '']",克里斯·雷纳德 Chris Renaud,ftp://ygdy8:ygdy8@yg45.dydytt.net:8496/阳光电影www.ygdy8.com.爱宠大机密2.BD.720p.中英双字幕.mkv,86分钟,"7.1/10 from 38,211 users",https://lookimg.com/images/2019/08/19/pjT9h.jpg,2019年动画喜剧《爱宠大机密2》BD中英双字幕,喜剧/动画/冒险,2019
