债券简称,债券代码,正股代码,上市时间,现价,今开,振幅,最高,最低,昨收,成交量,成交额
利群转债,113033,783366,2020-04-01T00:00:00,108.07,108.88,87.0%,108.98,108.03,108.92,79619,86250968.0
华体转债,113574,754679,2020-03-31T00:00:00,0.0,0.0,0.0%,0.0,0.0,100.0,0,0.0
同德转债,128103,072360,2020-03-26T00:00:00,1319.5,1387.0,932.0%,1389.9,1262.13,1371.0,243521,323080416.0
龙净转债,110068,733388,2020-03-24T00:00:00,110.03,110.79,117.0%,111.11,109.81,110.79,25381,27958097.0
久吾转债,123047,370631,2020-03-20T00:00:00,1183.4,1197.4,199.0%,1199.0,1175.2,1193.6,18226,21586511.0
海大转债,128102,072311,2020-03-19T00:00:00,1432.86,1459.5,363.0%,1464.86,1412.2,1451.51,135637,194109678.0
天铁转债,123046,370587,2020-03-19T00:00:00,1225.0,1290.0,854.0%,1307.7,1203.01,1226.0,91151,112396709.0
联创转债,128101,072036,2020-03-16T00:00:00,1119.0,1130.0,145.0%,1132.4,1116.0,1130.0,8102,9086761.0
红相转债,123044,370427,2020-03-12T00:00:00,0.0,0.0,0.0%,0.0,0.0,1239.8,0,0.0
华安转债,110067,733909,2020-03-12T00:00:00,113.03,113.28,103.0%,113.49,112.32,113.22,51410,58066069.0
三祥转债,113572,754663,2020-03-12T00:00:00,113.63,118.0,455.0%,118.0,112.63,117.96,74698,85214940.0
雷迪转债,123045,370652,2020-03-12T00:00:00,1098.0,1112.0,182.0%,1114.8,1094.6,1110.0,20771,22945035.0
博特转债,113571,754916,2020-03-12T00:00:00,133.18,137.5,396.0%,137.96,132.51,137.47,63317,84647125.0
搜特转债,128100,072503,2020-03-12T00:00:00,1032.8,1045.02,136.0%,1046.2,1032.0,1046.02,112339,116679806.0
永高转债,128099,072641,2020-03-11T00:00:00,1290.0,1326.3,483.0%,1335.0,1271.11,1323.97,16329,21352395.0
百达转债,113570,754331,2020-03-11T00:00:00,114.87,114.66,139.0%,115.6,114.01,114.61,26974,30985898.0
科达转债,113569,754660,2020-03-09T00:00:00,109.81,110.17,85.0%,110.5,109.56,110.17,8118,8914105.0
新春转债,113568,754667,2020-03-06T00:00:00,110.16,110.54,98.0%,110.89,109.8,110.67,21850,24115614.0
正元转债,123043,370645,2020-03-05T00:00:00,1228.3,1320.0,1055.0%,1342.0,1203.21,1315.0,284953,366809808.0
康弘转债,128098,072773,2020-03-05T00:00:00,1299.56,1310.0,113.0%,1310.0,1295.31,1303.1,17814,23166520.0
君禾转债,113567,754617,2020-03-04T00:00:00,112.28,113.77,157.0%,113.9,112.12,113.61,18736,21195315.0
桐20转债,113032,783233,2020-03-02T00:00:00,110.96,111.4,51.0%,111.4,110.83,111.4,10998,12203453.0
盛屯转债,110066,733711,2020-03-02T00:00:00,106.2,106.4,47.0%,106.51,106.01,106.51,31495,33478458.0
天目转债,113564,754136,2020-02-28T00:00:00,120.95,121.5,165.0%,122.5,120.49,121.78,11414,13855233.0
翔港转债,113566,754499,2020-02-28T00:00:00,117.77,118.57,495.0%,121.43,115.56,118.5,77610,91718895.0
宏辉转债,113565,754336,2020-02-26T00:00:00,134.64,139.1,835.0%,145.49,134.01,137.48,917988,1279902768.0
奥佳转债,128097,072614,2020-02-25T00:00:00,1106.86,1123.5,185.0%,1123.5,1102.8,1120.2,29530,32792222.0
奥瑞转债,128096,072701,2020-02-11T00:00:00,1127.0,1128.59,32.0%,1128.63,1125.01,1128.66,5179,5834752.0
恩捷转债,128095,072812,2020-02-11T00:00:00,1175.41,1180.11,221.0%,1198.0,1172.01,1178.2,8399,9961792.0
星帅转债,128094,072860,2020-01-16T00:00:00,1164.1,1191.0,295.0%,1195.45,1160.0,1200.0,63634,74809473.0
柳药转债,113563,754368,2020-01-16T00:00:00,122.0,123.25,197.0%,123.9,121.48,123.12,20947,25619935.0
银河转债,123042,370619,2020-01-14T00:00:00,1168.3,1245.0,947.0%,1275.0,1156.0,1257.14,163386,197006866.0
东财转2,123041,370059,2020-01-13T00:00:00,1354.53,1370.0,179.0%,1374.66,1350.2,1369.01,125730,170800990.0
博威转债,113031,783137,2020-01-10T00:00:00,122.7,124.12,217.0%,124.89,122.2,124.12,9732,11948762.0
百川转债,128093,072455,2020-01-03T00:00:00,1140.67,1140.0,57.0%,1145.0,1138.5,1140.01,12260,13986014.0
希望转债,127015,070876,2020-01-03T00:00:00,414.6,0.0,0.0%,0.0,0.0,414.6,0,0.0
乐普转债,123040,370003,2020-01-03T00:00:00,1427.5,1437.0,217.0%,1441.12,1410.02,1435.9,9998,14348664.0
璞泰转债,113562,754659,2020-01-02T00:00:00,119.47,119.3,552.0%,125.89,119.3,119.3,47137,57367990.0
正裕转债,113561,754089,2019-12-31T00:00:00,108.99,110.33,191.0%,110.9,108.78,110.78,20668,22679821.0
新天转债,128091,072873,2019-12-30T00:00:00,1984.0,2189.0,1985.0%,2327.0,1892.41,2189.0,1893906,4005230592.0
唐人转债,128092,072567,2019-12-30T00:00:00,1270.0,1266.48,353.0%,1305.0,1260.25,1266.48,260550,334586464.0
汽模转2,128090,072510,2019-12-27T00:00:00,1259.98,1279.9,244.0%,1288.61,1257.5,1274.6,65752,83676303.0
开润转债,123039,370577,2019-12-26T00:00:00,1119.01,1130.48,159.0%,1135.0,1116.99,1130.0,5056,5697791.0
麦米转债,128089,072851,2019-12-26T00:00:00,1210.6,1229.99,226.0%,1229.99,1202.31,1222.8,1866,2266253.0
联得转债,123038,370545,2019-12-25T00:00:00,1237.2,1310.0,708.0%,1312.0,1220.0,1299.08,49688,62626987.0
东风转债,113030,783515,2019-12-24T00:00:00,115.1,116.44,123.0%,116.44,115.0,116.98,7517,8677031.0
深南转债,128088,072916,2019-12-24T00:00:00,1583.91,1609.98,294.0%,1623.0,1576.0,1600.3,23037,36705757.0
永创转债,113559,754901,2019-12-23T00:00:00,109.21,110.8,159.0%,110.8,109.05,110.32,4367,4792195.0
日月转债,113558,754218,2019-12-23T00:00:00,122.83,122.81,129.0%,123.58,121.99,122.8,2053,2523839.0
淮矿转债,110065,733985,2019-12-23T00:00:00,108.23,108.62,67.0%,108.84,108.11,108.62,4577,4963015.0
至纯转债,113556,754690,2019-12-20T00:00:00,126.89,129.85,289.0%,129.99,126.27,128.81,11151,14249344.0
建工转债,110064,733939,2019-12-20T00:00:00,114.07,114.1,58.0%,114.65,113.99,113.95,9980,11405217.0
振德转债,113555,754301,2019-12-19T00:00:00,174.23,184.21,795.0%,184.75,170.21,182.96,228567,403303984.0
新莱转债,123037,370260,2019-12-19T00:00:00,1360.99,1460.0,1251.0%,1526.8,1347.0,1436.7,610092,885216544.0
森特转债,113557,754098,2019-12-19T00:00:00,112.4,115.0,370.0%,116.48,112.32,112.47,56308,64399703.0
