债券简称,代码,上市时间
利群转债,601366,2020-04-21T00:00:00
同德转债,002360,2020-04-21T00:00:00
龙净转债,600388,2020-04-15T00:00:00
久吾转债,300631,2020-04-17T00:00:00
海大转债,002311,2020-04-16T00:00:00
天铁转债,300587,2020-04-17T00:00:00
联创转债,002036,2020-04-13T00:00:00
红相转债,300427,2020-04-13T00:00:00
华安转债,600909,2020-04-09T00:00:00
三祥转债,603663,2020-04-09T00:00:00
雷迪转债,300652,2020-04-13T00:00:00
博特转债,603916,2020-04-01T00:00:00
搜特转债,002503,2020-04-09T00:00:00
永高转债,002641,2020-04-10T00:00:00
百达转债,603331,2020-04-08T00:00:00
科达转债,603660,2020-04-08T00:00:00
新春转债,603667,2020-04-02T00:00:00
正元转债,300645,2020-03-31T00:00:00
康弘转债,002773,2020-03-31T00:00:00
君禾转债,603617,2020-04-03T00:00:00
桐20转债,601233,2020-03-20T00:00:00
盛屯转债,600711,2020-03-31T00:00:00
天目转债,603136,2020-03-16T00:00:00
翔港转债,603499,2020-03-31T00:00:00
宏辉转债,603336,2020-03-16T00:00:00
奥佳转债,002614,2020-03-18T00:00:00
奥瑞转债,002701,2020-03-16T00:00:00
恩捷转债,002812,2020-02-28T00:00:00
星帅转债,002860,2020-02-19T00:00:00
柳药转债,603368,2020-02-24T00:00:00
银河转债,300619,2020-02-14T00:00:00
东财转2,300059,2020-02-14T00:00:00
博威转债,601137,2020-02-17T00:00:00
百川转债,002455,2020-01-21T00:00:00
希望转债,000876,2020-02-04T00:00:00
乐普转债,300003,2020-01-23T00:00:00
璞泰转债,603659,2020-02-04T00:00:00
正裕转债,603089,2020-02-10T00:00:00
新天转债,002873,2020-01-17T00:00:00
唐人转债,002567,2020-01-22T00:00:00
汽模转2,002510,2020-01-23T00:00:00
开润转债,300577,2020-01-23T00:00:00
麦米转债,002851,2020-01-21T00:00:00
联得转债,300545,2020-01-22T00:00:00
东风转债,601515,2020-01-20T00:00:00
深南转债,002916,2020-01-16T00:00:00
永创转债,603901,2020-01-10T00:00:00
日月转债,603218,2020-01-14T00:00:00
淮矿转债,600985,2020-01-13T00:00:00
至纯转债,603690,2020-01-09T00:00:00
建工转债,600939,2020-01-16T00:00:00
振德转债,603301,2020-01-14T00:00:00
新莱转债,300260,2020-01-22T00:00:00
森特转债,603098,2020-01-10T00:00:00
国轩转债,002074,2020-01-10T00:00:00
孚日转债,002083,2020-01-16T00:00:00
明阳转债,601615,2020-01-07T00:00:00
木森转债,002745,2020-01-10T00:00:00
仙鹤转债,603733,2020-01-10T00:00:00
鸿达转债,002002,2020-01-08T00:00:00
金牌转债,603180,2020-01-07T00:00:00
鹰19转债,600567,2020-01-03T00:00:00
新北转债,002376,2019-12-31T00:00:00
先导转债,300450,2020-01-10T00:00:00
华锋转债,002806,2020-01-06T00:00:00
烽火转债,600498,2019-12-25T00:00:00
克来转债,603960,2019-12-19T00:00:00
海亮转债,002203,2019-12-16T00:00:00
顺丰转债,002352,2019-12-09T00:00:00
常汽转债,603035,2019-12-12T00:00:00
福特转债,603806,2019-12-11T00:00:00
白电转债,603861,2019-12-11T00:00:00
利德转债,300296,2019-12-09T00:00:00
川投转债,600674,2019-12-02T00:00:00
通光转债,300265,2019-11-28T00:00:00
金力转债,300748,2019-11-25T00:00:00
石英转债,603688,2019-11-22T00:00:00
浦发转债,600000,2019-11-15T00:00:00
天路转债,600326,2019-11-28T00:00:00
北方转债,000065,2019-11-21T00:00:00
索发转债,603612,2019-11-22T00:00:00
迪贝转债,603320,2019-11-21T00:00:00
太极转债,002368,2019-11-08T00:00:00
英联转债,002846,2019-11-21T00:00:00
华夏转债,002928,2019-11-07T00:00:00
金轮转债,002722,2019-11-08T00:00:00
金能转债,603113,2019-11-07T00:00:00
万里转债,300591,2019-10-31T00:00:00
远东转债,002406,2019-10-31T00:00:00
游族转债,002174,2019-10-21T00:00:00
桃李转债,603866,2019-10-15T00:00:00
晶瑞转债,300655,2019-09-26T00:00:00
哈尔转债,002615,2019-09-11T00:00:00
九洲转债,300040,2019-09-12T00:00:00
翔鹭转债,002842,2019-09-16T00:00:00
欧派转债,603833,2019-09-04T00:00:00
合兴转债,002228,2019-09-16T00:00:00
英科转债,300677,2019-09-10T00:00:00
好客转债,603898,2019-08-23T00:00:00
荣晟转债,603165,2019-08-13T00:00:00
南威转债,603636,2019-08-05T00:00:00
圣达转债,603079,2019-07-26T00:00:00
智能转债,002877,2019-07-23T00:00:00
安图转债,603658,2019-07-22T00:00:00
华森转债,002907,2019-07-11T00:00:00
清水转债,300437,2019-07-15T00:00:00
环境转债,601200,2019-07-08T00:00:00
华钰转债,601020,2019-07-10T00:00:00
蓝晓转债,300487,2019-07-04T00:00:00
文灿转债,603348,2019-07-05T00:00:00
中环转债,300692,2019-07-01T00:00:00
和而转债,002402,2019-07-01T00:00:00
三星转债,603578,2019-06-24T00:00:00
大业转债,603278,2019-06-03T00:00:00
一心转债,002727,2019-05-17T00:00:00
亚泰转债,002811,2019-05-14T00:00:00
永鼎转债,600105,2019-05-08T00:00:00
雅化转债,002497,2019-05-10T00:00:00
创维转债,000810,2019-05-16T00:00:00
核能转债,601985,2019-05-08T00:00:00
明泰转债,601677,2019-05-07T00:00:00
鼎胜转债,603876,2019-04-30T00:00:00
司尔转债,002538,2019-05-07T00:00:00
核建转债,601611,2019-04-26T00:00:00
参林转债,603233,2019-04-24T00:00:00
未来转债,002631,2019-04-24T00:00:00
亚药转债,002370,2019-04-24T00:00:00
海环转债,603817,2019-04-24T00:00:00
现代转债,600420,2019-04-30T00:00:00
精测转债,300567,2019-04-19T00:00:00
百姓转债,603883,2019-04-22T00:00:00
大丰转债,603081,2019-04-18T00:00:00
启明转债,002439,2019-04-24T00:00:00
中装转债,002822,2019-04-15T00:00:00
招路转债,001965,2019-04-30T00:00:00
岱勒转债,300700,2019-04-17T00:00:00
迪森转债,300335,2019-04-16T00:00:00
亨通转债,600487,2019-04-16T00:00:00
通威转债,600438,2019-04-10T00:00:00
长信转债,300088,2019-04-10T00:00:00
伊力转债,600197,2019-04-04T00:00:00
苏银转债,600919,2019-04-03T00:00:00
浙商转债,601878,2019-03-28T00:00:00
绝味转债,603517,2019-04-02T00:00:00
视源转债,002841,2019-04-02T00:00:00
中鼎转2,000887,2019-04-04T00:00:00
拓邦转债,002139,2019-04-08T00:00:00
贵广转债,600996,2019-03-29T00:00:00
博彦转债,002649,2019-04-02T00:00:00
中信转债,601998,2019-03-19T00:00:00
万信转2,300168,2019-03-25T00:00:00
长城转债,603897,2019-03-20T00:00:00
富祥转债,300497,2019-03-29T00:00:00
中天转债,600522,2019-03-22T00:00:00
今飞转债,002863,2019-03-22T00:00:00
长青转2,002391,2019-04-03T00:00:00
中来转债,300393,2019-03-22T00:00:00
中宠转债,002891,2019-03-14T00:00:00
尚荣转债,002551,2019-03-07T00:00:00
维格转债,603518,2019-02-19T00:00:00
联泰转债,603797,2019-02-18T00:00:00
平银转债,000001,2019-02-18T00:00:00
冰轮转债,000811,2019-02-21T00:00:00
凯龙转债,002783,2019-01-21T00:00:00
溢利转债,300381,2019-01-23T00:00:00
佳都转债,600728,2019-01-21T00:00:00
海尔转债,600690,2019-01-18T00:00:00
台华转债,603055,2019-01-11T00:00:00
奇精转债,603677,2019-01-07T00:00:00
光华转债,002741,2019-01-09T00:00:00
钧达转债,002865,2018-12-27T00:00:00
伟明转债,603568,2018-12-26T00:00:00
福能转债,600483,2018-12-28T00:00:00
华源转债,002787,2018-12-20T00:00:00
旭升转债,603305,2018-12-11T00:00:00
山鹰转债,600567,2018-12-10T00:00:00
圆通转债,600233,2018-12-18T00:00:00
寒锐转债,300618,2018-12-24T00:00:00
桐昆转债,601233,2018-12-12T00:00:00
特发转债,000070,2018-12-25T00:00:00
科森转债,603626,2018-12-07T00:00:00
张行转债,002839,2018-11-29T00:00:00
百合转债,603313,2018-11-26T00:00:00
长久转债,603569,2018-11-30T00:00:00
洲明转债,300232,2018-12-03T00:00:00
光电转债,002179,2018-12-07T00:00:00
利尔转债,002258,2018-11-09T00:00:00
顾家转债,603816,2018-10-09T00:00:00
机电转债,002013,2018-09-14T00:00:00
岭南转债,002717,2018-09-04T00:00:00
蓝盾转债,300297,2018-09-13T00:00:00
曙光转债,603019,2018-08-23T00:00:00
苏农转债,603323,2018-08-20T00:00:00
东音转债,002793,2018-08-27T00:00:00
凯中转债,002823,2018-09-03T00:00:00
凯发转债,300407,2018-08-21T00:00:00
高能转债,603588,2018-08-27T00:00:00
横河转债,300539,2018-08-20T00:00:00
威帝转债,603023,2018-08-13T00:00:00
万顺转债,300057,2018-08-29T00:00:00
德尔转债,300473,2018-08-14T00:00:00
