,债券简称,正股代码,上市时间,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
0,利群转债,601366,2020-04-21T00:00:00,601366,利群股份,6.26,3.07%,0.08,86010,54153463.0,3.07%,6.38,6.19,6.22,6.18,0.93
1,同德转债,2360,2020-04-21T00:00:00,2360,同德化工,5.16,0.96%,-0.03,11104,5755326.0,0.96%,5.21,5.16,5.2,5.19,1.14
2,龙净转债,600388,2020-04-15T00:00:00,600388,龙净环保,9.42,4.77%,0.4,129971,120655601.0,4.77%,9.48,9.05,9.09,9.02,4.95
3,海大转债,2311,2020-04-16T00:00:00,2311,海大集团,43.93,3.04%,0.25,41456,182756572.0,3.04%,44.8,43.47,43.78,43.68,1.21
4,海大转债,2311,2020-04-16T00:00:00,2311,海大集团,43.9,3.04%,0.22,41489,182901454.0,3.04%,44.8,43.47,43.78,43.68,1.2
5,天铁转债,300587,2020-04-17T00:00:00,300587,天铁股份,18.17,2.68%,0.24,34309,61723645.0,2.68%,18.26,17.78,18.11,17.93,1.13
6,红相转债,300427,2020-04-13T00:00:00,300427,红相股份,-,-%,-,-,-,-%,-,-,-,21.05,-
7,华安转债,600909,2020-04-09T00:00:00,600909,华安证券,7.14,1.25%,-0.07,140612,100677767.0,1.25%,7.22,7.13,7.21,7.21,0.64
8,博特转债,603916,2020-04-01T00:00:00,603916,苏博特,26.24,4.04%,0.76,36361,93374341.0,4.04%,26.26,25.23,25.23,25.48,1.0
9,搜特转债,2503,2020-04-09T00:00:00,2503,搜于特,3.78,4.86%,0.08,1473879,558229616.0,4.86%,3.87,3.69,3.73,3.7,1.57
10,百达转债,603331,2020-04-08T00:00:00,603331,百达精工,16.93,1.24%,0.03,3612,6095777.0,1.24%,16.96,16.75,16.88,16.9,0.83
11,百达转债,603331,2020-04-08T00:00:00,603331,百达精工,16.9,1.24%,0.0,3638,6139717.0,1.24%,16.96,16.75,16.88,16.9,0.84
12,科达转债,603660,2020-04-08T00:00:00,603660,苏州科达,10.16,4.34%,-1.13,230852,239711277.0,4.34%,10.65,10.16,10.44,11.29,7.76
13,新春转债,603667,2020-04-02T00:00:00,603667,五洲新春,7.96,0.87%,-0.05,5002,3992964.0,0.87%,8.02,7.95,8.02,8.01,0.76
14,正元转债,300645,2020-03-31T00:00:00,300645,正元智慧,14.94,1.14%,-0.03,9861,14775102.0,1.14%,15.08,14.91,14.96,14.97,0.48
15,康弘转债,2773,2020-03-31T00:00:00,2773,康弘药业,39.0,4.0%,-0.53,19764,78197999.0,4.0%,40.49,38.91,39.59,39.53,1.5
16,康弘转债,2773,2020-03-31T00:00:00,2773,康弘药业,38.96,4.0%,-0.57,19774,78236971.0,4.0%,40.49,38.91,39.59,39.53,1.5
17,康弘转债,2773,2020-03-31T00:00:00,2773,康弘药业,38.95,4.0%,-0.58,19782,78268137.0,4.0%,40.49,38.91,39.59,39.53,1.5
18,君禾转债,603617,2020-04-03T00:00:00,603617,君禾股份,15.98,2.93%,-0.07,11802,18930822.0,2.93%,16.28,15.81,16.16,16.05,1.25
19,君禾转债,603617,2020-04-03T00:00:00,603617,君禾股份,15.93,2.93%,-0.12,11836,18985037.0,2.93%,16.28,15.81,16.16,16.05,1.24
20,桐20转债,601233,2020-03-20T00:00:00,601233,桐昆股份,12.14,2.11%,-0.18,72263,88497890.0,2.11%,12.37,12.11,12.37,12.32,0.87
21,桐昆转债,601233,2018-12-12T00:00:00,601233,桐昆股份,12.14,2.11%,-0.18,72263,88497890.0,2.11%,12.37,12.11,12.37,12.32,0.87
22,盛屯转债,600711,2020-03-31T00:00:00,600711,盛屯矿业,4.05,1.23%,-0.02,54637,22191209.0,1.23%,4.09,4.04,4.08,4.07,1.03
23,盛屯转债,600711,2020-03-31T00:00:00,600711,盛屯矿业,4.04,1.23%,-0.03,56174,22812286.0,1.23%,4.09,4.04,4.08,4.07,1.05
24,盛屯转债,600711,2020-03-31T00:00:00,600711,盛屯矿业,4.04,1.23%,-0.03,56174,22812286.0,1.23%,4.09,4.04,4.08,4.07,1.05
25,天目转债,603136,2020-03-16T00:00:00,603136,天目湖,24.6,2.3%,-0.21,5168,12814351.0,2.3%,25.15,24.58,25.0,24.81,0.74
26,天目转债,603136,2020-03-16T00:00:00,603136,天目湖,24.6,2.3%,-0.21,5173,12826651.0,2.3%,25.15,24.58,25.0,24.81,0.74
